hypothesis_id,canonical_title,origin,source_provenance,closest_existing_internal_hypothesis,closest_historical_strategy,collision_status,historical_testability,data_readiness,forward_readiness_if_known,new_model_output_required,runtime_requirement,fast_falsification_spec_available,discovery_priority,orthogonality,estimated_compute,execution_status
EH10,PERMUTATION_ENTROPY_ORDINAL_STATE_GATE,EXTERNAL_EXTENSION,S26:Permutation Entropy: A Natural Complexity Measure for Time Series|https://doi.org/10.1103/PhysRevLett.88.174102; S40:Shannon Entropy and Beyond: An Information-Theoretic Framework for Randomness Pre-Screening|https://pmc.ncbi.nlm.nih.gov/articles/PMC13298215/,H20,legacy_biglotto__biglotto_tme_optimizer__62c6cb676bad,NO_EXACT_HISTORICAL_MATCH; EXTENSION_OF_EXISTING; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,5/5; FAST_FALSIFICATION_SPEC_AVAILABLE,5/5; READY_DERIVABLE,4/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,DERIVED_OUTPUT_ONLY,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; LOW; HOURS_UNKNOWN,YES,4.6,4/5,LOW,NOT_EXECUTED_PROPOSED_ONLY
EH11,MMD_JOINT_DISTRIBUTION_SHIFT_ALLOCATOR,EXTERNAL_EXTENSION,S10:Alibi Detect|https://github.com/SeldonIO/alibi-detect; S11:Online MMD drift detection documentation|https://docs.seldon.ai/alibi-detect/cd/methods/online/onlinemmddrift; S12:A Kernel Two-Sample Test|https://www.jmlr.org/papers/v13/gretton12a.html,H20,legacy_biglotto__predict_evolutionary_gum__b3e96cf483b0,NO_EXACT_HISTORICAL_MATCH; EXTENSION_OF_EXISTING; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,5/5; FAST_FALSIFICATION_SPEC_AVAILABLE,5/5; READY_DERIVABLE,5/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,DERIVED_OUTPUT_ONLY,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; LOW_TO_MEDIUM; HOURS_UNKNOWN,YES,4.7,4/5,LOW_TO_MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
EH12,WASSERSTEIN_WINDOW_SHIFT_ALLOCATOR,EXTERNAL_EXTENSION,S31:Change Point Detection in Time Series Using Optimal Transport|https://www.michaelchughes.com/papers/ChengAeronHughesEtAl_ICASSP_2020.pdf,H19;H20,legacy_biglotto__research_variant_history__149648f9fffc,NO_EXACT_HISTORICAL_MATCH; EXTENSION_OF_EXISTING; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,5/5; FAST_FALSIFICATION_SPEC_AVAILABLE,5/5; READY_DERIVABLE,4/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,DERIVED_OUTPUT_ONLY,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; LOW_TO_MEDIUM; HOURS_UNKNOWN,YES,4.5,4/5,LOW_TO_MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
EH13,CONFORMAL_SET_SIZE_COVERAGE_ABSTENTION,EXTERNAL_COMBINATION,S13:MAPIE|https://github.com/scikit-learn-contrib/MAPIE; S14:MAPIE adaptive conformal time-series example|https://mapie.readthedocs.io/en/stable/generated/regression/3-scientific-articles/plot_zaffran2022_comparison/; S15:Conformal Risk Control|https://arxiv.org/abs/2208.02814,H07;H09,legacy_biglotto__xgboost_model__38c72a70c627,NO_EXACT_HISTORICAL_MATCH; COMBINATION_OF_EXISTING; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,5/5; FAST_FALSIFICATION_SPEC_AVAILABLE,5/5; PARTIAL_REQUIRES_OUT_OF_FOLD_NUMBER_SCORES,5/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,YES,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; LOW_TO_MEDIUM; HOURS_UNKNOWN,YES,4.6,4/5,LOW_TO_MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
EH14,CONTEXT_CONDITIONED_MMD_DRIFT_GATE,EXTERNAL_COMBINATION,S10:Alibi Detect|https://github.com/SeldonIO/alibi-detect; S11:Online MMD drift detection documentation|https://docs.seldon.ai/alibi-detect/cd/methods/online/onlinemmddrift; S12:A Kernel Two-Sample Test|https://www.jmlr.org/papers/v13/gretton12a.html,H18;H20,legacy_biglotto__predict_evolutionary_gum__b3e96cf483b0,NO_EXACT_HISTORICAL_MATCH; COMBINATION_OF_EXISTING; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,4/5; FAST_FALSIFICATION_SPEC_AVAILABLE,4/5; READY_DERIVABLE,4/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,DERIVED_OUTPUT_ONLY,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; MEDIUM; HOURS_UNKNOWN,YES,4.3,4/5,MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
EH15,CHANGEPOINT_TRIGGERED_META_SELECTION,EXTERNAL_COMBINATION,S05:River|https://github.com/online-ml/river; S06:River ADWIN documentation|https://riverml.xyz/latest/api/drift/ADWIN/; S07:River Page-Hinkley documentation|https://riverml.xyz/latest/api/drift/PageHinkley/,H01;H03;H19,legacy_biglotto__auto_optimizer_alpha__7eaa9572e384,NO_EXACT_HISTORICAL_MATCH; COMBINATION_OF_EXISTING; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,5/5; FAST_FALSIFICATION_SPEC_AVAILABLE,5/5; READY_DERIVABLE,5/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,DERIVED_OUTPUT_ONLY,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; LOW; HOURS_UNKNOWN,YES,4.7,4/5,LOW,NOT_EXECUTED_PROPOSED_ONLY
EH16,CALIBRATED_PROBABILITY_DPP_PORTFOLIO,EXTERNAL_COMBINATION,S13:MAPIE|https://github.com/scikit-learn-contrib/MAPIE; S15:Conformal Risk Control|https://arxiv.org/abs/2208.02814; S16:DPPy|https://github.com/guilgautier/DPPy,H07;H14,legacy_biglotto__portfolio_optimizer__1a6efc7959b6,NO_EXACT_HISTORICAL_MATCH; COMBINATION_OF_H07_AND_H14; NOT_EXACT_TO_H14_UNDER_FULL_INFORMATION_SET; EXTERNAL_UNVERIFIED_CLAIM,5/5; FAST_FALSIFICATION_SPEC_AVAILABLE,5/5; PARTIAL_REQUIRES_CALIBRATED_NUMBER_SCORES_AND_LEGAL_CANDIDATES,5/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,YES,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; MEDIUM; HOURS_UNKNOWN,YES,4.7,4/5,MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
EH17,STATE_SPACE_POSTERIOR_MULTIWINDOW_DISAGREEMENT,EXTERNAL_COMBINATION,S09:Bayesian Online Changepoint Detection|https://arxiv.org/abs/0710.3742; S21:Next generation reservoir computing|https://www.nature.com/articles/s41467-021-25801-2,H04;H17,legacy_biglotto__test_tme__f3bb5106dfe3,NO_EXACT_HISTORICAL_MATCH; COMBINATION_OF_EXISTING; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,4/5; FAST_FALSIFICATION_SPEC_AVAILABLE,4/5; READY_DERIVABLE,4/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,YES,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; MEDIUM; HOURS_UNKNOWN,YES,4.2,4/5,MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
EH18,E_PROCESS_ANYTIME_VALID_PROMOTION_ABSTENTION_GATE,EXTERNAL_EXTENSION,S29:Game-Theoretic Statistics and Safe Anytime-Valid Inference|https://arxiv.org/abs/2210.01948,H22;H28,legacy_biglotto__rgf_walkforward_validator__cab0d1127b62,NO_EXACT_HISTORICAL_MATCH; EXTENSION_OF_EXISTING; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,5/5; FAST_FALSIFICATION_SPEC_AVAILABLE,5/5; READY_SEQUENTIAL_LOSS_STREAM,5/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,NO_PREDICTIVE_MODEL; EVIDENCE_STATE_OUTPUT,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; LOW; HOURS_UNKNOWN,YES,4.7,5/5,LOW,NOT_EXECUTED_PROPOSED_ONLY
EH25,TS2VEC_CAUSAL_RESIDUAL_EMBEDDING,EXTERNAL_NEW,S33:TS2Vec|https://github.com/zhihanyue/ts2vec; S34:TS2Vec: Towards Universal Representation of Time Series|https://arxiv.org/abs/2106.10466,H23;H24;H25,legacy_biglotto__attention_replay_predictor__a811e2eb8215,NO_EXACT_HISTORICAL_MATCH; GENUINELY_NEW_HYPOTHESIS; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,3/5; FAST_FALSIFICATION_SPEC_AVAILABLE,3/5; READY_DERIVABLE,4/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,YES,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; HIGH; HOURS_UNKNOWN,YES,3.9,5/5,HIGH,NOT_EXECUTED_PROPOSED_ONLY
EH26,STATIONARY_VINE_COPULA_RESIDUAL_DEPENDENCE,EXTERNAL_NEW,S35:svines|https://github.com/tnagler/svines; S36:Stationary vine copula models for multivariate time series|https://arxiv.org/abs/2008.05990,H07;H11,legacy_biglotto__cooccurrence_graph__25fa2e473092,NO_EXACT_HISTORICAL_MATCH; GENUINELY_NEW_HYPOTHESIS; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,3/5; FAST_FALSIFICATION_SPEC_AVAILABLE,4/5; PARTIAL_REQUIRES_CALIBRATED_RESIDUALS,3/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,YES,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; MEDIUM_TO_HIGH; HOURS_UNKNOWN,YES,4.0,5/5,MEDIUM_TO_HIGH,NOT_EXECUTED_PROPOSED_ONLY
EH27,SPARSE_SUBSET_SCAN_CONDITIONAL_EDGE_GATE,EXTERNAL_NEW,S32:Sequential change-point detection: Laplace concentration of scan statistics and non-asymptotic delay bounds|https://proceedings.mlr.press/v98/maillard19a.html,H10;H20;H22,legacy_biglotto__feature_discovery_and_retrospective__e2ea8b18945d,NO_EXACT_HISTORICAL_MATCH; GENUINELY_NEW_HYPOTHESIS; RETAINED_AFTER_FULL_133_AUDIT; EXTERNAL_UNVERIFIED_CLAIM,4/5; FAST_FALSIFICATION_SPEC_AVAILABLE,4/5; READY_DERIVABLE,4/5; NOT_PREFLIGHTED; NEW_IMPLEMENTATION_REQUIRED,DERIVED_OUTPUT_ONLY,NEW_READ_ONLY_RESEARCH_IMPLEMENTATION; MEDIUM; HOURS_UNKNOWN,YES,4.3,5/5,MEDIUM,NOT_EXECUTED_PROPOSED_ONLY
